D_TEXT_TOOLTIP_DRAGON_TROOPER,Primitive reptiloid warriors fiercely loyal to Delurin and equipped with ornate metal armor and flamethrowers to more closely resemble the Dragons of ancient myth. Unacquainted with blaster weaponry and other advanced technology, they are nonetheless resilient and quick on their feet.
D_TEXT_TOOLTIP_DRAGON_TROOPER_COMPANY,Company: 36x Dragon Trooper
D_TEXT_TOOLTIP_DRAGON_TROOPER_COMPANY_WEAP1,24x Blaster Carbine: 3 / 1.25s / 220m
D_TEXT_TOOLTIP_DRAGON_TROOPER_SQUAD,Squad: 9x Dragon Trooper
D_TEXT_TOOLTIP_DRAGON_TROOPER_SQUAD_WEAP1,6x Blaster Carbine: 3 / 1.25s / 220m
D_TEXT_UNIT_DRAGON_TROOPER,Dragon Trooper
D_TEXT_UNIT_DRAGON_TROOPER_FLAMER,Dragon Trooper Firebreather
D_TEXT_UNIT_DRAGON_TROOPER_LIEUTENANT,Dragon Trooper Heavy Gunner
D_TEXT_UNIT_DRAGON_TROOPER_PLATOON,Dragon Trooper Brood
D_TEXT_UNIT_DRAGON_TROOPER_REPEATER,Dragon Trooper Light Gunner
D_TEXT_UNIT_DRAGON_TROOPER_SQUAD,Dragon Trooper Pack
TEXT_ATXT_SQUAD,AT-XT Walker Company
TEXT_COMPANY_TIERFON_CAPITAL,Tierfon Sector Fleet HQ
TEXT_COMPANY_TIERFON_DESCRIPTION,The main base of the Tierfon Sector Fleet, with extensive command centers and dockyard facilities.
TEXT_DISPLAY_TIERFON_CAPITAL,Construction Station: Tierfon Sector Fleet HQ
TEXT_ECONOMY_BISCUIT_BARON,Biscuit Baron - Income
TEXT_ENCYCLOPEDIA_BISCUIT_BARON,A popular casual dining franchise with a logo bearing the likeness of the late Baron Orman Tagge. One of the largest restaurant chains across the galaxy, Biscuit Baron is a symbol of TaggeCo's omnipresence and soft power and provides the House of Tagge with income and goodwill from the local population. Any assertions that their products can turn into ravenous bioweapons are vigorously disputed by TaggeCo's legal team.
TEXT_ENCYCLOPEDIA_CLASS_BARONESS,Baroness
TEXT_ENCYCLOPEDIA_CLASS_PRIME_MINISTER,Prime Minister 
TEXT_ETA2_SQUADRON,Eta-2 Actis Squadron
TEXT_ETA2_SQUADRON_HALF,Eta-2 Actis Squadron 1/2
TEXT_ETA2_SQUADRON2,Eta-2 Actis Squadron x2
TEXT_GROUND_BISCUIT_BARON,Biscuit Baron
TEXT_H60_SQUADRON,H-60 Tempest Squadron
TEXT_H60_SQUADRON_HALF,H-60 Tempest Squadron 1/2
TEXT_H60_SQUADRON2,H-60 Tempest Squadron x2
TEXT_HERO_BRELLAR,Alecs Brellar
TEXT_HERO_DOMINA_TAGGE,Domina Tagge
TEXT_HERO_IRRV,Dimone Irrv
TEXT_HERO_KLEMP,Klemp
TEXT_HERO_MALLAT,Zeven Mallat
TEXT_HERO_RBANN,Rbann
TEXT_HERO_RED_STAR,Iran Ryad
TEXT_HERO_TEZRIN,Dongal Tezrin
TEXT_HERO_YEORG_CAPTISON,Yeorg Captison
TEXT_MISSILE_TIE_FIGHTER_SQUADRON,Missile Refit TIE Fighter Squadron
TEXT_MISSILE_TIE_FIGHTER_SQUADRON_HALF,Missile Refit TIE Fighter Squadron 1/2
TEXT_MISSILE_TIE_FIGHTER_SQUADRON2,Missile Refit TIE Fighter Squadron x2
TEXT_NOTE,Put text changes for submods here
TEXT_NTB_630_SQUADRON,NTB-630 Squadron
TEXT_NTB_630_SQUADRON_HALF,NTB-630 Squadron 1/2
TEXT_NTB_630_SQUADRON2,NTB-630 Squadron x2
TEXT_REPUBLIC_TIE_SQUADRON,T.I.E. Starfighter Squadron
TEXT_REPUBLIC_TIE_SQUADRON_HALF,T.I.E. Starfighter Squadron 1/2
TEXT_REPUBLIC_TIE_SQUADRON2,T.I.E. Starfighter Squadron x2
TEXT_RESEARCH_SELLASAS_SWAP1_DESCRIPTION,Switch the loadouts of newly commissioned Dreadnaught, Carrack and Neutron Star Cruisers to older, more support-oriented configurations.
TEXT_RESEARCH_SELLASAS_SWAP1_NAME,Switch to Support Loadouts
TEXT_RESEARCH_SELLASAS_SWAP2_DESCRIPTION,Switch the loadouts of newly commissioned Dreadnaught, Carrack and Neutron Star Cruisers to more modern, firepower-centric configurations. 
TEXT_RESEARCH_SELLASAS_SWAP2_NAME,Switch to Combat Loadouts
TEXT_STATBLOCK_ETA2_BASE,Health: 10 | Unshielded
TEXT_STATBLOCK_ETA2_JEDI_BASE,Health: 360 [2%/5s] | Unshielded
TEXT_STATBLOCK_ETA2_MOVE,Speed: 9.8 | Maneuverability: 4.8
TEXT_STATBLOCK_ETA2_SQUADRON,Squadron: 12x Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_SQUADRON_DOUBLE,Squadron: 24x Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_SQUADRON_HALF,Squadron: 6x Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.1km
TEXT_STATBLOCK_ETA2_WEAP2,1x Fighter Ion Cannon: 2 / 2.0s / 1.1km
TEXT_STATBLOCK_H60_BASE,Health: 16 | Shields: 10
TEXT_STATBLOCK_H60_MOVE,Speed: 5.54 | Maneuverability: 3.0
TEXT_STATBLOCK_H60_SQUADRON,Squadron: 12x H-60 Tempest
TEXT_STATBLOCK_H60_SQUADRON_DOUBLE,Squadron: 24x H-60 Tempest
TEXT_STATBLOCK_H60_SQUADRON_HALF,Squadron: 6x H-60 Tempest
TEXT_STATBLOCK_H60_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 2.0s / 1.1km
TEXT_STATBLOCK_H60_WEAP2,1x Fighter Ion Cannon: 2 / 2.0s / 1.0km
TEXT_STATBLOCK_H60_WEAP3,1x Proton Rocket (AC): 1 / 30.0s / 3.0km
TEXT_STATBLOCK_H60_WEAP4,1x Concussion Bomb (AC): 1 / 18.75s / 0.8km
TEXT_STATBLOCK_IRAN_RYAD_TIE_DEFENDER_BASE,Health: 180 | Shields: 240
TEXT_STATBLOCK_MISSILE_TIE_FIGHTER_SQUADRON,Squadron: 12x Missile Refit TIE Fighter
TEXT_STATBLOCK_MISSILE_TIE_FIGHTER_SQUADRON_DOUBLE,Squadron: 24x Missile Refit TIE Fighter
TEXT_STATBLOCK_MISSILE_TIE_FIGHTER_SQUADRON_HALF,Squadron: 6x Missile Refit TIE Fighter
TEXT_STATBLOCK_NTB_630_ARON_ONSTALL_BASE,Health: 200 | Shields: 180
TEXT_STATBLOCK_NTB_630_BASE,Health: 16 | Shields: 14
TEXT_STATBLOCK_NTB_630_ESCORT_BASE,Health: 100 | Shields: 90
TEXT_STATBLOCK_NTB_630_MOVE,Speed: 6.14 | Maneuverability: 3.0
TEXT_STATBLOCK_NTB_630_SQUADRON,Squadron: 12x NTB-630
TEXT_STATBLOCK_NTB_630_SQUADRON_DOUBLE,Squadron: 24x NTB-630
TEXT_STATBLOCK_NTB_630_SQUADRON_HALF,Squadron: 6x NTB-630
TEXT_STATBLOCK_NTB_630_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_NTB_630_WEAP2,1x Proton Rocket (AC): 1 / 12.5s / 3.0km
TEXT_STATBLOCK_NTB_630_WEAP3,1x Concussion Bomb (AC): 1 / 15.0s / 0.8km
TEXT_STATBLOCK_REPUBLICTIE_BASE,Health: 11 | Unshielded
TEXT_STATBLOCK_REPUBLICTIE_MOVE,Speed: 7.65 | Maneuverability: 4.5
